DATE,date,electricity_price
10/6/1992,10/6/1992,0.126
10/7/1992,10/7/1992,0.126
10/8/1992,10/8/1992,0.129
10/9/1992,10/9/1992,0.130
10/10/1992,10/10/1992,0.125
10/11/1992,10/11/1992,0.124
10/12/1992,10/12/1992,0.122
10/13/1992,10/13/1992,0.116
10/14/1992,10/14/1992,0.116
10/15/1992,10/15/1992,0.116
10/16/1992,10/16/1992,0.116
10/17/1992,10/17/1992,0.111
10/18/1992,10/18/1992,0.111
10/19/1992,10/19/1992,0.112
10/20/1992,10/20/1992,0.116
10/21/1992,10/21/1992,0.116
10/22/1992,10/22/1992,0.119
10/23/1992,10/23/1992,0.117
10/24/1992,10/24/1992,0.117
10/25/1992,10/25/1992,0.112
10/26/1992,10/26/1992,0.112
10/27/1992,10/27/1992,0.112
10/28/1992,10/28/1992,0.112
10/29/1992,10/29/1992,0.112
10/30/1992,10/30/1992,0.112
10/31/1992,10/31/1992,0.128
11/1/1992,11/1/1992,0.128
11/2/1992,11/2/1992,0.128
11/3/1992,11/3/1992,0.128
11/4/1992,11/4/1992,0.128
11/5/1992,11/5/1992,0.128
11/6/1992,11/6/1992,0.127
11/7/1992,11/7/1992,0.126
11/8/1992,11/8/1992,0.126
11/9/1992,11/9/1992,0.126
11/10/1992,11/10/1992,0.124
11/11/1992,11/11/1992,0.132
11/12/1992,11/12/1992,0.133
11/13/1992,11/13/1992,0.142
11/14/1992,11/14/1992,0.142
11/15/1992,11/15/1992,0.142
11/16/1992,11/16/1992,0.136
11/17/1992,11/17/1992,0.136
11/18/1992,11/18/1992,0.136
11/19/1992,11/19/1992,0.136
11/20/1992,11/20/1992,0.141
11/21/1992,11/21/1992,0.141
11/22/1992,11/22/1992,0.142
11/23/1992,11/23/1992,0.142
11/24/1992,11/24/1992,0.142
11/25/1992,11/25/1992,0.142
11/26/1992,11/26/1992,0.142
11/27/1992,11/27/1992,0.142
11/28/1992,11/28/1992,0.143
11/29/1992,11/29/1992,0.143
11/30/1992,11/30/1992,0.142
12/1/1992,12/1/1992,0.142
12/2/1992,12/2/1992,0.141
12/3/1992,12/3/1992,0.137
12/4/1992,12/4/1992,0.134
12/5/1992,12/5/1992,0.134
12/6/1992,12/6/1992,0.136
12/7/1992,12/7/1992,0.136
12/8/1992,12/8/1992,0.135
12/9/1992,12/9/1992,0.133
12/10/1992,12/10/1992,0.132
12/11/1992,12/11/1992,0.132
12/12/1992,12/12/1992,0.130
12/13/1992,12/13/1992,0.130
12/14/1992,12/14/1992,0.131
12/15/1992,12/15/1992,0.131
12/16/1992,12/16/1992,0.128
12/17/1992,12/17/1992,0.127
12/18/1992,12/18/1992,0.128
12/19/1992,12/19/1992,0.129
12/20/1992,12/20/1992,0.133
12/21/1992,12/21/1992,0.144
12/22/1992,12/22/1992,0.152
12/23/1992,12/23/1992,0.153
12/24/1992,12/24/1992,0.153
12/25/1992,12/25/1992,0.154
